date,material_id,closing_stock,qty_consumed
2023-01-01,MAT-API-001,5570.807349999999,0.0
2023-01-02,MAT-API-001,5570.807349999999,0.0
2023-01-03,MAT-API-001,5570.807349999999,0.0
2023-01-04,MAT-API-001,5570.807349999999,0.0
2023-01-05,MAT-API-001,5570.807349999999,0.0
2023-01-06,MAT-API-001,4643.120849999999,927.6865
2023-01-07,MAT-API-001,4643.120849999999,0.0
2023-01-08,MAT-API-001,4643.120849999999,0.0
2023-01-09,MAT-API-001,4643.120849999999,0.0
2023-01-10,MAT-API-001,4643.120849999999,0.0
2023-01-11,MAT-API-001,4643.120849999999,0.0
2023-01-12,MAT-API-001,4643.120849999999,0.0
2023-01-13,MAT-API-001,4643.120849999999,0.0
2023-01-14,MAT-API-001,4643.120849999999,0.0
2023-01-15,MAT-API-001,4643.120849999999,0.0
2023-01-16,MAT-API-001,4643.120849999999,0.0
2023-01-17,MAT-API-001,4643.120849999999,0.0
2023-01-18,MAT-API-001,4643.120849999999,0.0
2023-01-19,MAT-API-001,4643.120849999999,0.0
2023-01-20,MAT-API-001,4643.120849999999,0.0
2023-01-21,MAT-API-001,4643.120849999999,0.0
2023-01-22,MAT-API-001,4643.120849999999,0.0
2023-01-23,MAT-API-001,4643.120849999999,0.0
2023-01-24,MAT-API-001,4643.120849999999,0.0
2023-01-25,MAT-API-001,4643.120849999999,0.0
2023-01-26,MAT-API-001,4643.120849999999,0.0
2023-01-27,MAT-API-001,4643.120849999999,0.0
2023-01-28,MAT-API-001,4643.120849999999,0.0
2023-01-29,MAT-API-001,4643.120849999999,0.0
2023-01-30,MAT-API-001,4643.120849999999,0.0
2023-01-31,MAT-API-001,3665.2913499999995,977.8294999999999
2023-02-01,MAT-API-001,3665.2913499999995,0.0
2023-02-02,MAT-API-001,3665.2913499999995,0.0
2023-02-03,MAT-API-001,3665.2913499999995,0.0
2023-02-04,MAT-API-001,3665.2913499999995,0.0
2023-02-05,MAT-API-001,3665.2913499999995,0.0
2023-02-06,MAT-API-001,3665.2913499999995,0.0
2023-02-07,MAT-API-001,3665.2913499999995,0.0
2023-02-08,MAT-API-001,3665.2913499999995,0.0
2023-02-09,MAT-API-001,3665.2913499999995,0.0
2023-02-10,MAT-API-001,3665.2913499999995,0.0
2023-02-11,MAT-API-001,3665.2913499999995,0.0
2023-02-12,MAT-API-001,3665.2913499999995,0.0
2023-02-13,MAT-API-001,3665.2913499999995,0.0
